ID,Account ID,Event,Timestamp,Page URL,Button Label
1,nya-hilpert@hotmail.example,Button Clicked,"março 15, 2022, 12:18 AM",,Invite
2,nya-hilpert@hotmail.example,Page Viewed,"março 15, 2022, 12:20 AM",www.piespace.example/invite,
3,nya-hilpert@hotmail.example,Page Viewed,"março 15, 2022, 12:20 AM",www.piespace.example/home,
4,nya-hilpert@hotmail.example,Page Viewed,"março 15, 2022, 12:25 AM",www.piespace.example/home,
5,nya-hilpert@hotmail.example,Page Viewed,"março 15, 2022, 12:26 AM",www.piespace.example/invite,
6,nya-hilpert@hotmail.example,Page Viewed,"março 15, 2022, 12:26 AM",www.piespace.example/pies,
7,nya-hilpert@hotmail.example,Page Viewed,"março 15, 2022, 12:43 AM",www.piespace.example/pies,
8,bud.bruen@yahoo.example,Page Viewed,"março 15, 2022, 12:43 AM",www.piespace.example/help,
9,aidan-hagenes@hotmail.example,Page Viewed,"março 15, 2022, 1:16 AM",www.piespace.example/home,
10,waters.kennedi@hotmail.example,Page Viewed,"março 15, 2022, 1:51 AM",www.piespace.example/invite,
11,waters.kennedi@hotmail.example,Page Viewed,"março 15, 2022, 2:06 AM",www.piespace.example/login,
12,johnson.samir@hotmail.example,Page Viewed,"março 15, 2022, 2:07 AM",www.piespace.example/login,
13,waters.kennedi@hotmail.example,Page Viewed,"março 15, 2022, 2:09 AM",www.piespace.example/home,
14,greyson.boyle@gmail.example,Button Clicked,"março 15, 2022, 2:12 AM",,Invite
15,greyson.boyle@gmail.example,Page Viewed,"março 15, 2022, 2:13 AM",www.piespace.example/invite,
16,johnson.samir@hotmail.example,Page Viewed,"março 15, 2022, 2:14 AM",www.piespace.example/invite,
17,elijah-rohan@gmail.example,Page Viewed,"março 15, 2022, 2:53 AM",www.piespace.example/pies,
18,brennan-olson@hotmail.example,Page Viewed,"março 15, 2022, 2:57 AM",www.piespace.example/login,
19,cronin-cassidy@gmail.example,Button Clicked,"março 15, 2022, 2:58 AM",,Create Item
20,cronin-cassidy@gmail.example,Button Clicked,"março 15, 2022, 2:58 AM",,Signup
21,cronin-cassidy@gmail.example,Button Clicked,"março 15, 2022, 2:58 AM",,Create Item
22,cronin-cassidy@gmail.example,Button Clicked,"março 15, 2022, 2:59 AM",,Subscribe
23,cronin-cassidy@gmail.example,Button Clicked,"março 15, 2022, 2:59 AM",,Invite
24,cronin-cassidy@gmail.example,Button Clicked,"março 15, 2022, 2:59 AM",,Subscribe
25,cronin-cassidy@gmail.example,Button Clicked,"março 15, 2022, 2:59 AM",,Signup
26,cronin-cassidy@gmail.example,Page Viewed,"março 15, 2022, 3:00 AM",www.piespace.example/help,
27,brennan-olson@hotmail.example,Page Viewed,"março 15, 2022, 3:01 AM",www.piespace.example/help,
28,cronin-cassidy@gmail.example,Page Viewed,"março 15, 2022, 3:06 AM",www.piespace.example/pies,
29,elijah-rohan@gmail.example,Page Viewed,"março 15, 2022, 3:06 AM",www.piespace.example/home,
30,cronin-cassidy@gmail.example,Page Viewed,"março 15, 2022, 3:07 AM",www.piespace.example/help,
31,cronin-cassidy@gmail.example,Page Viewed,"março 15, 2022, 3:10 AM",www.piespace.example/login,
32,cronin-cassidy@gmail.example,Page Viewed,"março 15, 2022, 3:11 AM",www.piespace.example/invite,
33,cronin-cassidy@gmail.example,Page Viewed,"março 15, 2022, 3:12 AM",www.piespace.example/login,
34,cronin-cassidy@gmail.example,Page Viewed,"março 15, 2022, 3:16 AM",www.piespace.example/invite,
35,elijah-rohan@gmail.example,Page Viewed,"março 15, 2022, 3:29 AM",www.piespace.example/invite,
36,elijah-rohan@gmail.example,Page Viewed,"março 15, 2022, 3:37 AM",www.piespace.example/invite,
37,johnson.samir@hotmail.example,Page Viewed,"março 15, 2022, 4:14 AM",www.piespace.example/pies,
38,johnson.samir@hotmail.example,Page Viewed,"março 15, 2022, 4:14 AM",www.piespace.example/help,
39,johnson.samir@hotmail.example,Page Viewed,"março 15, 2022, 4:15 AM",www.piespace.example/help,
40,cronin-rosalinda@gmail.example,Page Viewed,"março 15, 2022, 4:17 AM",www.piespace.example/home,
41,brennan-olson@hotmail.example,Page Viewed,"março 15, 2022, 4:18 AM",www.piespace.example/invite,
42,jed-bartell@gmail.example,Button Clicked,"março 15, 2022, 4:19 AM",,Subscribe
43,johnson.samir@hotmail.example,Page Viewed,"março 15, 2022, 4:40 AM",www.piespace.example/invite,
44,jed-bartell@gmail.example,Page Viewed,"março 15, 2022, 4:40 AM",www.piespace.example/login,
45,brennan-olson@hotmail.example,Page Viewed,"março 15, 2022, 4:42 AM",www.piespace.example/home,
46,jed-bartell@gmail.example,Page Viewed,"março 15, 2022, 5:03 AM",www.piespace.example/login,
47,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 5:15 AM",www.piespace.example/login,
48,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 5:25 AM",,Checkout
49,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 5:32 AM",www.piespace.example/pies,
50,ronaldo.willms@yahoo.example,Page Viewed,"março 15, 2022, 5:33 AM",www.piespace.example/invite,
51,ronaldo.willms@yahoo.example,Page Viewed,"março 15, 2022, 5:35 AM",www.piespace.example/pies,
52,jed-bartell@gmail.example,Page Viewed,"março 15, 2022, 5:38 AM",www.piespace.example/login,
53,ronaldo.willms@yahoo.example,Page Viewed,"março 15, 2022, 5:38 AM",www.piespace.example/pies,
54,bud.bruen@yahoo.example,Page Viewed,"março 15, 2022, 5:59 AM",www.piespace.example/login,
55,johnson.samir@hotmail.example,Page Viewed,"março 15, 2022, 6:03 AM",www.piespace.example/invite,
56,bud.bruen@yahoo.example,Page Viewed,"março 15, 2022, 6:32 AM",www.piespace.example/help,
57,schmeler.annabelle@gmail.example,Button Clicked,"março 15, 2022, 6:39 AM",,Signup
58,oda-brakus@hotmail.example,Page Viewed,"março 15, 2022, 6:41 AM",www.piespace.example/invite,
59,savanah.fahey@gmail.example,Button Clicked,"março 15, 2022, 6:43 AM",,Checkout
60,leannon-clay@gmail.example,Page Viewed,"março 15, 2022, 6:49 AM",www.piespace.example/login,
61,savanah.fahey@gmail.example,Page Viewed,"março 15, 2022, 6:52 AM",www.piespace.example/home,
62,o.hara.freida@gmail.example,Button Clicked,"março 15, 2022, 6:53 AM",,Subscribe
63,o.hara.freida@gmail.example,Page Viewed,"março 15, 2022, 6:57 AM",www.piespace.example/invite,
64,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 7:02 AM",www.piespace.example/invite,
65,vernice-bernier@hotmail.example,Page Viewed,"março 15, 2022, 7:10 AM",www.piespace.example/help,
66,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 7:13 AM",www.piespace.example/login,
67,orn.erica@hotmail.example,Button Clicked,"março 15, 2022, 7:36 AM",,Subscribe
68,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 7:36 AM",www.piespace.example/pies,
69,orn.erica@hotmail.example,Page Viewed,"março 15, 2022, 7:37 AM",www.piespace.example/home,
70,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:46 AM",,Signup
71,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:46 AM",,Invite
72,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:46 AM",,Invite
73,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:47 AM",,Invite
74,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:48 AM",,Signup
75,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:48 AM",,Signup
76,leannon-clay@gmail.example,Page Viewed,"março 15, 2022, 7:48 AM",www.piespace.example/login,
77,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:50 AM",,Create Item
78,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:50 AM",,Create Item
79,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:50 AM",,Invite
80,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:51 AM",,Signup
81,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:52 AM",,Create Item
82,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:52 AM",,Checkout
83,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:53 AM",,Invite
84,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:53 AM",,Subscribe
85,feeney-manuel@yahoo.example,Button Clicked,"março 15, 2022, 7:53 AM",,Checkout
86,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 7:56 AM",www.piespace.example/pies,
87,hane.nat@hotmail.example,Button Clicked,"março 15, 2022, 7:58 AM",,Subscribe
88,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 8:00 AM",www.piespace.example/help,
89,turner-tommie@hotmail.example,Page Viewed,"março 15, 2022, 8:02 AM",www.piespace.example/pies,
90,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 8:07 AM",www.piespace.example/invite,
91,turner-tommie@hotmail.example,Page Viewed,"março 15, 2022, 8:07 AM",www.piespace.example/home,
92,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 8:08 AM",www.piespace.example/help,
93,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 8:12 AM",www.piespace.example/home,
94,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 8:19 AM",www.piespace.example/invite,
95,johnnie-glover@hotmail.example,Button Clicked,"março 15, 2022, 8:20 AM",,Subscribe
96,feeney-manuel@yahoo.example,Page Viewed,"março 15, 2022, 8:26 AM",www.piespace.example/help,
97,borer.sabina@gmail.example,Page Viewed,"março 15, 2022, 8:33 AM",www.piespace.example/login,
98,johnnie-glover@hotmail.example,Page Viewed,"março 15, 2022, 8:41 AM",www.piespace.example/login,
99,johnnie-glover@hotmail.example,Page Viewed,"março 15, 2022, 8:44 AM",www.piespace.example/help,
100,johnnie-glover@hotmail.example,Button Clicked,"março 15, 2022, 8:52 AM",,Create Item
