ID,User ID,Product ID,Subtotal,Tax,Total,Discount ($),Created At,Quantity
1,Hudson Borer,Awesome Concrete Shoes,37.65,2.07,39.72,,"fevereiro 11, 2025, 9:40 PM",2
2,Hudson Borer,Mediocre Wooden Bench,110.93,6.1,117.03,,"maio 15, 2024, 8:04 AM",3
3,Hudson Borer,Fantastic Wool Shirt,52.72,2.9,49.21,6.42,"dezembro 6, 2025, 10:22 PM",2
4,Hudson Borer,Awesome Bronze Plate,109.22,6.01,115.23,,"agosto 22, 2025, 4:30 PM",6
5,Hudson Borer,Sleek Steel Table,127.88,7.03,134.91,,"outubro 10, 2024, 3:34 AM",5
6,Hudson Borer,Rustic Paper Car,29.8,1.64,31.44,,"novembro 6, 2025, 4:38 PM",3
7,Hudson Borer,Mediocre Rubber Shoes,95.77,5.27,101.04,,"setembro 11, 2024, 11:22 AM",5
8,Hudson Borer,Ergonomic Silk Table,68.23,3.75,63.32,8.65,"junho 17, 2025, 2:37 AM",7
9,Hudson Borer,Practical Granite Plate,77.4,4.26,78.06,3.59,"maio 3, 2023, 4:00 PM",3
10,Hudson Borer,Small Marble Hat,97.44,5.36,102.8,,"janeiro 17, 2026, 1:44 AM",2
11,Hudson Borer,Sleek Marble Clock,63.82,3.51,67.33,,"julho 22, 2024, 8:31 PM",6
12,Lina Heaney,Aerodynamic Linen Coat,148.23,10.19,158.42,,"junho 26, 2024, 11:21 PM",7
13,Lina Heaney,Small Rubber Clock,57.49,3.95,59.33,2.12,"abril 6, 2025, 1:04 AM",2
14,Lina Heaney,Lightweight Steel Watch,51.19,3.52,54.71,,"maio 25, 2023, 8:50 PM",4
15,Lina Heaney,Aerodynamic Concrete Bench,114.42,7.87,122.29,,"junho 26, 2024, 2:24 AM",5
16,Lina Heaney,Heavy-Duty Copper Toucan,76.83,5.28,82.11,,"dezembro 14, 2023, 11:28 AM",1
17,Lina Heaney,Gorgeous Concrete Chair,123.21,8.47,131.68,,"fevereiro 6, 2026, 12:14 PM",1
18,Lina Heaney,Sleek Paper Toucan,116.01,7.98,123.99,,"abril 10, 2026, 11:29 PM",2
19,Lina Heaney,Mediocre Marble Lamp,105.2,7.23,112.43,,"fevereiro 14, 2025, 7:28 AM",1
20,Lina Heaney,Lightweight Linen Hat,47.59,3.27,41.38,9.48,"abril 21, 2024, 4:18 AM",4
21,Lina Heaney,Awesome Bronze Plate,109.22,7.51,116.73,,"maio 2, 2024, 3:57 AM",5
22,Arnold Adams,Mediocre Wooden Table,47.68,1.38,42.31,6.75,"dezembro 12, 2025, 9:32 PM",1
23,Arnold Adams,Rustic Copper Knife,54.9,1.59,56.49,,"junho 2, 2025, 11:33 AM",5
24,Arnold Adams,Awesome Concrete Shoes,37.65,1.09,38.74,,"setembro 20, 2025, 5:28 PM",6
25,Arnold Adams,Durable Copper Clock,112.42,3.26,115.68,,"dezembro 21, 2025, 12:23 PM",2
26,Dominique Leffler,Small Copper Plate,99.66,3.99,103.65,,"junho 20, 2024, 2:18 AM",5
27,Rene Muller,Awesome Concrete Shoes,37.65,1.51,39.16,,"abril 28, 2025, 7:01 AM",2
28,Rene Muller,Incredible Silk Shoes,131.43,5.26,127.54,9.15,"maio 23, 2024, 6:15 PM",4
29,Rene Muller,Sleek Wool Wallet,118.05,4.72,122.77,,"março 7, 2024, 10:56 PM",1
30,Rene Muller,Incredible Linen Knife,68.32,2.73,71.05,,"abril 15, 2025, 12:24 PM",3
31,Roselyn Bosco,Heavy-Duty Linen Gloves,128.58,9,137.58,,"maio 22, 2024, 4:28 AM",6
32,Roselyn Bosco,Heavy-Duty Steel Watch,60.9,4.26,65.16,,"junho 4, 2024, 5:11 AM",7
33,Roselyn Bosco,Practical Aluminum Table,122.37,8.57,124.45,6.48,"junho 18, 2025, 11:17 AM",4
34,Roselyn Bosco,Synergistic Granite Chair,53.08,3.72,56.8,,"janeiro 4, 2025, 9:12 PM",1
35,Roselyn Bosco,Lightweight Wool Bag,40.38,2.83,43.21,,"outubro 10, 2023, 1:37 AM",5
36,Roselyn Bosco,Awesome Wool Bench,61.2,4.28,65.48,,"julho 4, 2024, 12:34 AM",4
37,Roselyn Bosco,Enormous Wool Car,53.29,3.73,57.02,,"agosto 30, 2023, 12:40 PM",4
38,Roselyn Bosco,Durable Rubber Computer,114.58,8.02,122.6,,"julho 25, 2024, 11:27 PM",5
39,Roselyn Bosco,Ergonomic Marble Computer,70.35,4.92,75.27,,"maio 9, 2024, 3:09 AM",4
40,Roselyn Bosco,Durable Cotton Bench,139.82,9.79,149.61,,"novembro 21, 2025, 11:35 PM",2
41,Roselyn Bosco,Awesome Granite Car,75.65,5.3,80.95,,"dezembro 4, 2024, 12:08 AM",2
42,Roselyn Bosco,Awesome Wool Bench,61.2,4.28,65.48,,"novembro 16, 2025, 8:11 AM",3
43,Aracely Jenkins,Ergonomic Plastic Bench,50.38,3.27,53.65,,"novembro 3, 2025, 8:24 PM",3
44,Aracely Jenkins,Durable Cotton Bench,93.22,6.06,99.28,,"outubro 1, 2023, 2:47 PM",6
45,Aracely Jenkins,Enormous Cotton Pants,84.14,5.47,89.61,,"setembro 25, 2023, 12:11 AM",5
46,Aracely Jenkins,Enormous Steel Watch,98.84,6.42,105.26,,"junho 14, 2024, 3:09 AM",4
47,Aracely Jenkins,Sleek Leather Toucan,106.44,6.92,113.36,,"julho 6, 2024, 12:35 AM",4
48,Aracely Jenkins,Sleek Copper Watch,66.8,4.34,71.14,,"maio 16, 2025, 8:17 PM",5
49,Aracely Jenkins,Intelligent Granite Hat,139.89,9.09,148.98,,"novembro 17, 2025, 9:19 AM",3
50,Aracely Jenkins,Sleek Paper Toucan,116.01,7.54,123.55,,"janeiro 1, 2024, 7:26 AM",2
51,Aracely Jenkins,Practical Plastic Keyboard,51.94,3.38,55.32,,"dezembro 6, 2023, 3:46 AM",2
52,Anais Ward,Heavy-Duty Wooden Clock,74.3,4.46,78.76,,"julho 15, 2024, 11:04 PM",3
53,Anais Ward,Sleek Aluminum Clock,41.62,2.5,44.12,,"setembro 15, 2024, 1:06 PM",3
54,Tressa White,Heavy-Duty Copper Toucan,115.24,6.63,114.24,7.64,"outubro 26, 2024, 8:41 PM",4
55,Tressa White,Incredible Aluminum Knife,46.1,2.65,48.75,,"agosto 16, 2023, 9:51 AM",5
56,Tressa White,Intelligent Iron Shirt,79.37,4.56,83.93,,"dezembro 2, 2022, 8:04 AM",1
57,Tressa White,Awesome Rubber Wallet,38,2.19,40.19,,"fevereiro 5, 2026, 3:28 AM",1
58,Tressa White,Rustic Rubber Knife,65.09,3.74,68.83,,"março 9, 2025, 1:05 AM",1
59,Tressa White,Sleek Granite Pants,82.8,4.76,87.56,,"abril 11, 2025, 6:53 PM",1
60,Tressa White,Small Granite Gloves,124.89,7.18,132.07,,"julho 10, 2024, 3:17 AM",2
61,Tressa White,Ergonomic Silk Coat,132.46,7.62,140.08,,"setembro 23, 2025, 11:07 AM",3
62,Tressa White,Enormous Copper Shirt,70.15,4.03,74.18,,"outubro 13, 2024, 7:02 PM",6
63,Tressa White,Practical Steel Table,78.15,4.49,82.64,,"abril 14, 2024, 7:47 PM",3
64,Tressa White,Ergonomic Silk Table,68.23,3.92,72.15,,"fevereiro 23, 2025, 4:13 PM",2
65,Tressa White,Mediocre Cotton Toucan,44.28,2.55,46.83,,"setembro 14, 2024, 11:33 PM",5
66,Tressa White,Aerodynamic Paper Computer,37.65,2.16,36.36,3.44,"março 30, 2024, 8:03 PM",1
67,Tressa White,Enormous Aluminum Clock,48.9,2.81,43.9,7.81,"maio 30, 2024, 5:01 AM",5
68,Ciara Larson,Durable Marble Watch,68.62,2.74,71.36,,"maio 28, 2025, 2:47 PM",5
69,Ciara Larson,Mediocre Aluminum Lamp,56.7,2.27,58.97,,"junho 28, 2025, 2:19 PM",8
70,Ciara Larson,Enormous Marble Shoes,32.14,1.29,33.43,,"novembro 21, 2025, 11:21 AM",3
71,Ciara Larson,Heavy-Duty Rubber Gloves,31.73,1.27,33,,"setembro 1, 2023, 11:51 AM",4
72,Ciara Larson,Synergistic Steel Chair,75.09,3,78.09,,"julho 18, 2023, 10:51 AM",5
73,Ciara Larson,Gorgeous Marble Plate,99.85,3.99,103.84,,"agosto 18, 2025, 2:49 AM",7
74,Ciara Larson,Incredible Bronze Wallet,81.88,3.28,83.31,1.85,"fevereiro 20, 2026, 12:36 AM",1
75,Ciara Larson,Synergistic Steel Chair,75.09,3,78.09,,"abril 10, 2023, 11:33 PM",2
76,Bertrand Romaguera,Sleek Marble Table,26.38,1.72,28.1,,"dezembro 19, 2022, 7:40 PM",2
77,Bertrand Romaguera,Heavy-Duty Silk Chair,92.31,6,98.31,,"setembro 27, 2025, 9:32 PM",4
78,Bertrand Romaguera,Aerodynamic Copper Knife,38.3,2.49,40.79,,"maio 2, 2024, 3:42 PM",5
79,Bertrand Romaguera,Incredible Silk Shoes,131.43,8.54,139.97,,"abril 25, 2024, 3:55 PM",4
80,Bertrand Romaguera,Rustic Copper Knife,54.9,3.57,58.47,,"abril 15, 2025, 2:49 PM",4
81,Bertrand Romaguera,Intelligent Granite Hat,139.89,9.09,142.97,6.01,"outubro 29, 2025, 3:41 AM",4
82,Khalid Pouros,Mediocre Aluminum Shirt,41.62,1.66,43.28,,"janeiro 3, 2024, 9:10 AM",2
83,Khalid Pouros,Small Cotton Chair,59.53,2.38,55.9,6.01,"abril 28, 2024, 6:48 PM",3
84,Khalid Pouros,Mediocre Aluminum Lamp,56.7,2.27,58.97,,"dezembro 26, 2025, 2:29 PM",2
85,Khalid Pouros,Sleek Leather Toucan,106.44,4.26,110.7,,"junho 5, 2025, 8:15 AM",6
86,Khalid Pouros,Mediocre Wool Toucan,44.43,1.78,46.21,,"junho 8, 2022, 10:56 AM",6
87,Khalid Pouros,Enormous Wool Car,79.94,3.2,83.14,,"maio 6, 2025, 1:41 AM",3
88,Khalid Pouros,Awesome Concrete Shoes,37.65,1.51,39.16,,"agosto 10, 2025, 1:39 AM",7
89,Khalid Pouros,Incredible Concrete Keyboard,82.08,3.28,85.36,,"agosto 28, 2022, 4:44 PM",7
90,Khalid Pouros,Gorgeous Linen Bottle,78.17,3.13,81.3,,"dezembro 29, 2022, 8:29 AM",1
91,Lora Cronin,Sleek Marble Table,39.58,0,39.58,,"fevereiro 18, 2025, 12:57 PM",2
92,Lora Cronin,Mediocre Wool Toucan,44.43,0,44.43,,"março 26, 2023, 8:45 AM",1
93,Lora Cronin,Aerodynamic Paper Computer,25.1,0,25.1,,"junho 18, 2023, 11:15 AM",4
